ID,Tick,X,Y,Health,Energy,Satiety,Kinship,Status,Curiosity,Altruism,Intel,Age,Gen,Biome,Archetype,Karma,Alignment,Enlightenment,SoulAge,TribeId,NumMemes
1,1,7,16,100,94.9,99.5,49.9,0,10.1,50,50,1,0,Forest,Warrior,0,0,0,1,-1,0
2,1,17,13,100,99.4,99.5,49.9,0,10.1,50,50,1,0,Forest,Warrior,0,0,0,1,-1,0
3,1,13,14,100,99.4,99.5,49.9,0,10.1,50,50,1,0,Forest,Warrior,0,0,0,1,-1,0
4,1,1,14,100,96.9,99.5,49.9,0,10.1,50,60,1,0,Forest,Builder,0,0,0,1,-1,0
5,1,1,13,100,99.9,99.5,49.9,0,10.1,50,50,1,0,Forest,Warrior,0,0,0,1,-1,0
6,1,4,15,100,99.9,99.5,49.9,0,10.1,55,55,1,0,Forest,Prophet,0,0,0,1,-1,0
7,1,4,17,100,99.9,99.5,49.9,0,10.1,50,50,1,0,Forest,Warrior,0,0,0,1,-1,0
8,1,5,16,100,99.4,99.5,49.9,0,10.1,50,50,1,0,Forest,Warrior,0,0,0,1,-1,0
9,1,19,13,100,99.9,99.5,49.9,0,10.1,55,55,1,0,Forest,Prophet,0,0,0,1,-1,0
10,1,7,15,100,94.9,99.5,49.9,0,10.1,50,60,1,0,Forest,Builder,0,0,0,1,-1,0
11,1,13,16,100,99.9,99.5,49.9,0,10.1,50,50,1,0,Plains,Warrior,0,0,0,1,-1,0
12,1,14,14,100,97.9,99.5,50.4,0,10.1,55,55,1,0,Forest,Prophet,0,0,0,1,-1,0
13,1,15,18,100,99.4,99.5,49.9,0,30.1,50,50,1,0,Plains,Explorer,0,0,0,1,-1,0
14,1,19,19,100,99.9,99.5,59.9,0,10.1,70,50,1,0,Plains,Healer,0,0,0,1,-1,0
15,1,17,18,100,96.9,99.5,49.9,0,10.1,50,50,1,0,Plains,Warrior,0,0,0,1,-1,0
16,1,15,14,100,89.9,99.5,51.9,0,10.1,50,50,1,0,Forest,Warrior,2,0,0,1,-1,0
17,1,9,10,100,96.9,99.5,49.9,0,20.1,50,70,1,0,Mountain,Thinker,0,0,0,1,-1,0
18,1,17,17,100,99.4,99.5,49.9,0,10.1,55,55,1,0,Plains,Prophet,0,0,0,1,-1,0
19,1,18,17,100,99.4,99.5,49.9,0,10.1,50,50,1,0,Plains,Warrior,0,0,0,1,-1,0
