Tick,Pop,Infected,Dead,AvgAltruism,AvgCuriosity,AvgConsciousness
1,20,0,0,52,12.1,4
2,20,0,0,52.05,12.2,4
3,20,0,0,52.15,12.3,4.025
4,20,0,0,52.25,12.4,4.025
5,20,0,0,52.05,12.5,4.025
6,20,0,0,52,12.6,4.025
7,20,0,0,52.05,12.7,4.05
8,20,0,0,52.1,12.9,4.05
9,20,0,0,52.15,13.1,4.075
10,20,0,0,52.25,13.3,4.075
11,20,0,0,52.35,13.4,4.075
12,20,0,0,52.45,13.5,4.1
13,20,0,0,52.55,13.6,4.1
14,20,0,0,52.6,13.7,4.1
15,20,0,0,52.65,13.8,4.1
16,20,0,0,52.7,13.9,4.1
17,20,0,0,52.75,14,4.1
18,20,0,0,52.8,14.1,4.1
19,20,0,0,52.85,14.2,4.1
20,20,0,0,52.95,14.3,4.1
21,20,0,0,53,14.5,4.125
22,21,0,0,52.9524,15.3333,3.92857
23,21,0,0,53.0476,15.4333,3.92857
24,21,0,0,53.1429,15.5333,3.92857
25,21,0,0,53.1905,15.7286,3.92857
26,21,0,0,53.2381,15.9238,3.92857
27,21,0,0,53.2857,16.1191,3.92857
28,21,0,0,53.3333,16.2191,3.92857
29,21,0,0,53.381,16.4143,3.95238
30,17,0,0,54.1176,16.753,4.88235
31,17,0,0,54.1176,16.9706,4.88235
32,17,0,0,54.1765,17.0706,4.91176
33,17,0,0,54.2353,17.1706,4.91176
34,17,0,0,54.2941,17.3882,4.91176
35,17,0,0,54.2941,17.4882,4.91176
36,17,0,0,54.2647,17.5882,4.91176
37,19,0,0,53.8158,17.9316,4.39474
38,19,0,0,53.8684,18.0316,4.39474
39,19,0,0,53.9211,18.1316,4.39474
40,19,0,0,53.9263,18.2316,4.39474
41,19,0,0,53.9263,18.3316,4.39474
42,19,0,0,53.979,18.4316,4.39474
43,18,0,0,54.2556,17.6556,4.63889
44,17,0,0,51.5059,18.0706,4.88235
45,16,0,0,51.5438,17.525,5.125
46,16,0,0,51.6688,17.625,5.125
47,16,0,0,51.7938,17.725,5.125
48,16,0,0,51.8563,17.825,5.125
49,16,0,0,51.9188,17.925,5.125
50,16,0,0,51.9813,18.025,5.125
51,14,0,0,52.35,18.4143,5.85714
52,14,0,0,52.4214,18.5143,5.89286
53,13,0,0,52.2308,19.0231,4.80769
54,13,0,0,52.3077,19.1231,4.80769
55,13,0,0,52.3846,19.2231,4.80769
56,13,0,0,52.4615,19.3231,4.80769
57,13,0,0,52.4923,19.4231,4.80769
58,12,0,0,52.775,19.6667,5.16667
59,11,0,0,52.5818,20.1182,3.81818
60,11,0,0,52.5818,20.2182,3.81818
61,11,0,0,52.6727,20.3182,3.81818
62,10,0,0,53.16,20.84,4.2
63,9,0,0,51.8667,21.4556,4.66667
64,9,0,0,51.8667,21.5556,4.66667
65,9,0,0,51.8667,21.6556,4.66667
66,9,0,0,51.8667,21.7556,4.66667
67,9,0,0,51.8667,21.8556,4.66667
68,9,0,0,51.8667,21.9556,4.66667
69,9,0,0,51.8667,22.0556,4.66667
70,8,0,0,52.1,20.7625,5.25
71,8,0,0,52.225,20.8625,5.25
72,8,0,0,52,19.2096,5.1875
73,8,0,0,52,19.3096,5.1875
74,8,0,0,52,19.4096,5.1875
75,8,0,0,52,19.5096,5.1875
76,8,0,0,52.1125,19.6096,5.1875
77,6,0,0,52.7167,18.3795,6.75
78,5,0,0,53.44,14.6554,8
79,5,0,0,53.64,14.7554,8
80,5,0,0,53.84,14.8554,8
81,5,0,0,54.04,14.9554,8
82,5,0,0,54.24,15.0554,8
83,5,0,0,54.44,15.1554,8
84,5,0,0,54.64,15.2554,8
85,5,0,0,54.84,15.3554,8
86,5,0,0,55.04,15.4554,8
87,5,0,0,55.24,15.5554,8
88,5,0,0,55.44,15.6554,8
89,5,0,0,55.64,16.1554,8
90,5,0,0,56.04,16.2554,8
91,3,0,0,57.2667,13.859,6.66667
92,3,0,0,57.6,13.959,6.66667
93,3,0,0,57.9,14.059,6.66667
94,3,0,0,57.9,14.159,6.66667
95,3,0,0,57.9,14.259,6.66667
96,3,0,0,58.2333,14.359,6.66667
97,3,0,0,58.2,14.459,6.66667
98,3,0,0,58.2,14.559,6.66667
99,2,0,0,59.95,12.0385,0
100,2,0,0,60.45,12.1385,0
